project,Buginducing,Date,Modifiedfiles,LOC,TotalFixing,Bugfixing,FixingFiles,Tag,commitmessage
QuEST-Kit/QuEST,405877fe22bac2eb21172c27f77e3d806925ec4f,2018-07-25T22:09:07Z,"{'QuEST/QuEST.c': 109, 'QuEST/QuEST_common.c': 70, 'QuEST/QuEST_internal.h': 2, 'QuEST/QuEST_ops.h': 4, 'QuEST/QuEST_validation.c': 61, 'QuEST/QuEST_validation.h': 32}",278,1,{'c240a5bc66d76bc902ca4d67a0385033b0dcb480'},{'QuEST/src/QuEST_common.c'},TRUE,
Quantum-Dynamics-Hub/libra-code,9b2b24640bf242cc606e534c74e0fe2e16d1a7ce,2016-11-01T20:20:38Z,"{'src/libra_py/QE_methods.py': 161, 'src/libra_py/__init__.py': 3, 'tests/test_libra_py/test_9_qe_methods/C.pbe-n-kjpaw_psl.0.1.UPF': 9350, 'tests/test_libra_py/test_9_qe_methods/H.pbe-kjpaw_psl.0.1.UPF': 3868, 'tests/test_libra_py/test_9_qe_methods/run.sh': 8, 'tests/test_libra_py/test_9_qe_methods/test.py': 66, 'tests/test_libra_py/test_9_qe_methods/x.exp.in': 10, 'tests/test_libra_py/test_9_qe_methods/x.exp.out\r': 48, 'tests/test_libra_py/test_9_qe_methods/x.export/grid.1': 5118, 'tests/test_libra_py/test_9_qe_methods/x.export/grid.2': 5118, 'tests/test_libra_py/test_9_qe_methods/x.export/index.xml': 146, 'tests/test_libra_py/test_9_qe_methods/x.export/mgrid': 40970, 'tests/test_libra_py/test_9_qe_methods/x.export/wfc.1': 25559, 'tests/test_libra_py/test_9_qe_methods/x.export/wfc.2': 25559, 'tests/test_libra_py/test_9_qe_methods/x.save/C.pbe-n-kjpaw_psl.0.1.UPF': 9350, 'tests/test_libra_py/test_9_qe_methods/x.save/H.pbe-kjpaw_psl.0.1.UPF': 3868, 'tests/test_libra_py/test_9_qe_methods/x.save/K00001/eigenval1.xml': 34, 'tests/test_libra_py/test_9_qe_methods/x.save/K00001/eigenval2.xml': 34, 'tests/test_libra_py/test_9_qe_methods/x.save/charge-density.dat': 0, 'tests/test_libra_py/test_9_qe_methods/x.save/data-file.xml': 367, 'tests/test_libra_py/test_9_qe_methods/x.save/spin-polarization.dat': 0, 'tests/test_libra_py/test_9_qe_methods/x.scf.in': 62, 'tests/test_libra_py/test_9_qe_methods/x.scf.out\r': 374}",130073,4,"{'bc9cafc71d7c82d033ef115f3d362ec897748fd4', '669228c489e7da383fcd8b20f85e2bad4a1cdc78', '87e8fa5711b3b2099f1c3c7fe037e2b190f48b2d', 'aa0c2a15f3beece9546a85d563a53d158c9b243d'}",{'src/libra_py/QE_methods.py'},Unclear,
cp2k/cp2k,3a7d58d9e1d24604e891c5aa19ea8b5134a590a7,2010-11-11T14:13:11Z,"{'src/cp_dbcsr_output.F': 20, 'src/qs_core_hamiltonian.F': 11}",31,3,"{'f7613948925f7527060b24b8ac5897c9f380d723', 'c42a7ba74ce68d685d1a7d0efc4b857407c0c737', 'fbfeb0d56fabab995210cb4fc10db8f504b6395a'}","{'src/cp_dbcsr_output.F', 'src/qs_core_hamiltonian.F'}",FALSE,
cp2k/cp2k,91b4a99fae2bc1491fbcb1401b42fa480db70226,2007-02-26T13:29:23Z,"{'src/OBJECTDEFS': 2, 'src/input_cp2k_dft.F': 5, 'src/input_cp2k_resp.F': 291, 'src/qs_resp.F': 279, 'src/qs_scf_post.F': 5, 'tests/QS/regtest-gpw-3/CH3OH.inp': 91, 'tests/QS/regtest-gpw-3/TEST_FILES': 2}",675,6,"{'e2f0a935ba65e415f48dc5c143a997bd8527cde4', '2159b7fab758796902fc0ece515285e72388ebef', 'f2a64ca0dfb7f0bf8ff603fe0f59f9c8e32a34a4', '7cbd4494e53cd3b9d5f82a2bbaa6a16d3c3714ad', 'e1132eb53c1664dd97a38b1743b37ddbc9169d21', '78739c96ffadbaa7886e3dd046d327aeed641e7d'}","{'src/input_cp2k_resp.F', 'src/qs_scf_post.F', 'src/qs_resp.F'}",FALSE,
cp2k/cp2k,3ea3a1cfa231fae86fec54dcb982ed8ab6807df7,2003-02-19T15:32:57Z,{'src/qs_p_env_methods.F': 66},66,1,{'30e1e39f03e8c18f4939cd060f0df744e92547a9'},{'src/qs_p_env_methods.F'},TRUE,
qcdb/qcdb,36928fe47aab5957fcf0cff05fd4a61e9c0359df,2019-10-21T04:23:41Z,"{'qcdb/programs/gamess/read_options.py': 270, 'qcdb/programs/nwchem/read_options.py': 2434, 'qcdb/programs/psi4/read_options.py': 49}",2753,2,"{'3d9dc2e0dc137c8c58610e4c3f3e5e1c0efbdb15', 'b0981b5152bc894eb5d7065e8702e1e25fc3db88'}",{'qcdb/programs/nwchem/read_options.py'},TRUE,
BBN-Q/PyQLab,58cad414ce4ddb91752abe95191ad4fafb3e7729,2013-03-22T00:08:50Z,"{'EnamlHelpers.enaml': 25, 'MeasFilters.py': 5, 'MeasFiltersViews.enaml': 14, 'Sweeps.py': 5, 'SweepsViews.enaml': 24, 'instruments/AWGs.py': 6, 'instruments/AWGsViews.enaml': 12, 'instruments/InstrumentManagerView.enaml': 7, 'instruments/MicrowaveSources.py': 6, 'instruments/MicrowaveSourcesViews.enaml': 10}",114,1,{'209f7c8a6c7cdddcacd189071733a6b16a7ae101'},"{'instruments/InstrumentManagerView.enaml', 'instruments/MicrowaveSourcesViews.enaml', 'instruments/AWGsViews.enaml'}",TRUE,
LCPQ/quantum_package,9e73ed6b1c59bc192bf88fc58ab479925aefd6ff,2017-01-25T16:42:25Z,"{'plugins/Full_CI_ZMQ/pt2_stoch_routines.irp.f': 8, 'plugins/Full_CI_ZMQ/selection.irp.f': 63}",71,2,"{'92d7bbd57ebc1a9f631b471e1042a952a397b81e', '7801c57de948ee28851a3525a6d0ec5574f3cd7f'}",{'plugins/Full_CI_ZMQ/selection.irp.f'},TRUE,
QMCPACK/qmcpack,3873d1cb31a1fab621f17372cf691c1dc89df448,2017-07-07T12:26:51Z,{'src/OhmmsApp/RandomNumberControl.cpp': 6},6,1,{'b2ebcd17b4773f89c02866b4b105cc064023634c'},{'src/OhmmsApp/RandomNumberControl.cpp'},TRUE,
votca/xtp,bee987818f80ea2b9926bcd90a13f4927c76ced4,2012-03-23T18:26:08Z,"{'include/votca/ctp/polarsite.h': 2, 'src/libctp/calculators/emultipole2.h': 198, 'src/libctp/calculators/emultipole3.h': 877}",1077,1,{'6c088c47970279f4a16ca546cafd85fa2cb29fd1'},{'src/libctp/calculators/emultipole.h'},TRUE,
QMCPACK/qmcpack,b0480125f611f3fcd921fa3dc53b75db0f6477cf,2017-09-29T20:05:47Z,"{'external_codes/catch/catch.hpp': 2, 'external_codes/catch/complex_approx.hpp': 69, 'src/Configuration.h': 10, 'src/QMCWaveFunctions/tests/test_pw.cpp': 12}",93,1,{'5b05d4b98f73e73805d17d8707da83ee15ae72a2'},{'external_codes/catch/complex_approx.hpp'},TRUE,
pyscf/pyscf,728569279dbd6d717c4fd08a0bae006772539519,2016-10-28T00:22:18Z,"{'cc/ccsd_lambda.py': 15, 'lib/diis.py': 11, 'lib/linalg_helper.py': 7}",33,2,"{'5f298f9239a2369617343953e11d04f62d5b8461', '9d9aa55731f065b98f8230a215b11de20d396737'}","{'lib/linalg_helper.py', 'cc/ccsd_lambda.py', 'lib/diis.py'}",TRUE,
MolSSI/QCElemental,980467877062279f45476cec83f05741b5c152c8,2019-10-18T18:55:59Z,"{'qcelemental/molparse/to_string.py': 10, 'qcelemental/molutil/__init__.py': 1, 'qcelemental/molutil/connectivity.py': 54, 'qcelemental/tests/test_molparse_to_string.py': 55}",120,1,{'a94c9894cbe2cf1a2347acf25391deb6939f0132'},{'qcelemental/molutil/connectivity.py'},TRUE,
cp2k/cp2k,4bea64d241f6877dfe641cdf17f555a180de8a4e,2006-03-03T14:35:38Z,"{'src/cp_control_types.F': 2, 'src/cp_ddapc.F': 356, 'src/cp_ddapc_forces.F': 1, 'src/cp_ddapc_types.F': 34, 'src/input_cp2k_dft.F': 53, 'src/qs_ks_methods.F': 38, 'tests/QS/regtest-gpw/H2O-bloechl-restraint.inp': 71, 'tests/QS/regtest-gpw/TEST_FILES': 1}",556,5,"{'bb42a92e9bd35ad2e8b94fc6579c2a8603091bcd', '052d4995ad7d17e2a10e8af532d70fc308cf1d3e', 'dab02f93eaf6298f08a5c87481ba4cf7870b62ea', '6531efb824d50329c64d81267805a9cd64f6022e', 'a9183ef91c50746b1773a18731679832e0ed77d8'}","{'src/qs_ks_methods.F', 'src/input_cp2k_dft.F', 'src/cp_ddapc.F'}",FALSE,
mabuchilab/QNET,6222efd184b71cfbf93ad17961f7846e43a824e0,2016-02-05T03:47:41Z,"{'qnet/misc/qsd_codegen.py': 8, 'qnet/misc/test/test_qsd_codegen.py': 15}",23,1,{'9f03ba71697c3763fd20659b36735702cfd95d11'},"{'qnet/misc/qsd_codegen.py', 'tests/misc/test_qsd_codegen.py'}",FALSE,
cp2k/cp2k,13fe19c2a346a5e0d15f2dfd88ec609fd108d2ac,2009-06-05T13:00:04Z,"{'src/qs_loc_molecules.F': 25, 'src/qs_scf_post_gpw.F': 3, 'src/qs_scf_post_se.F': 3}",31,2,"{'23a4d90fdff7c0e7466216cd36843236ab48c858', 'd11eac239c29bbb4381aac1ef8d898157da13ccf'}","{'src/qs_loc_molecules.F', 'src/qs_scf_post_gpw.F'}",TRUE,
TRIQS/triqs,0cb21dfa4ee91c8f224f70c7d9411e1e36a0e8da,2017-04-13T11:48:17Z,"{'test/triqs/gfs/multivar/g_k_om.cpp': 23, 'triqs/gfs/meshes/product.hpp': 121}",144,3,"{'b961dc20f8b6dc73140df60e9a79cb5c3c347ffd', '1855f2a14b46a66d95f792fffa5a35445e84d810', '0b7a6c9d8c30ebc4925116b426db8345d3875f33'}","{'test/triqs/gfs/multivar/g_k_om.cpp', 'triqs/gfs/meshes/product.hpp'}",FALSE,
dwavesystems/penaltymodel,cc1a295dba354249ba7eb213efcd8ac31ec206d4,2019-02-13T01:51:04Z,{'penaltymodel_mip/penaltymodel/mip/generation.py': 2},2,1,{'92fe9d8bb445fdb1f349f87689a02dc0409043a5'},{'penaltymodel_mip/penaltymodel/mip/generation.py'},TRUE,
LCPQ/quantum_package,a8885648515c08cb2a2671b66bbeeb37d2e41c7b,2017-04-17T22:01:31Z,"{'src/Davidson/u0Hu0.irp.f': 14, 'src/Determinants/spindeterminants.irp.f': 370}",384,2,"{'6b49eb59065741b8ca7d75aa766f3fb5898d3212', 'dc5e5f024df3fc635a8ecfddac1664294bcd7698'}",{'src/Determinants/spindeterminants.irp.f'},TRUE,
XanaduAI/strawberryfields,0f9cdc494b74032f4974387598fa23b94f2d372e,2019-08-28T19:10:37Z,"{'strawberryfields/apps/graph/resize.py': 54, 'strawberryfields/apps/graph/utils.py': 2, 'tests/apps/test_graph_resize.py': 72}",128,2,"{'c2c9df2a82d20622ccc3c53a26559de56c5eae27', '19fb7572e55701527127b004b4ce71f5d2273199'}","{'strawberryfields/apps/graph/resize.py', 'strawberryfields/gbs/resize.py', 'tests/apps/test_graph_resize.py'}",TRUE,
Qiskit/qiskit-aqua,55a897a1530a073d80df5d40fb358a2604641893,2019-02-14T03:29:15Z,"{'qiskit/aqua/components/feature_maps/pauli_expansion.py': 5, 'qiskit/aqua/components/feature_maps/pauli_z_expansion.py': 14, 'qiskit/aqua/components/feature_maps/second_order_expansion.py': 5, 'qiskit/aqua/components/variational_forms/ry.py': 17, 'qiskit/aqua/components/variational_forms/ryrz.py': 17, 'qiskit/aqua/components/variational_forms/swaprz.py': 17, 'test/test_qsvm_kernel.py': 10}",85,2,"{'8217c108ed791b3cf5c4abb369bf5249e1e27af7', '8bac4a7bbb93d89ffdaa8ddd55bc729f79302363'}","{'test/test_qsvm_kernel.py', 'qiskit/aqua/components/feature_maps/pauli_z_expansion.py'}",TRUE,
ValeevGroup/mpqc,f264695f98b34e269761aa1a270f5087745ceff0,2009-03-12T14:12:26Z,{'mpqc/src/lib/chemistry/qc/basis/intdescr.h': 2},2,1,{'3b23eaf6f5ec3b4e3b29d026ff1e17dcdaf167a5'},{'mpqc/src/lib/chemistry/qc/basis/intdescr.h'},FALSE,
votca/xtp,617bbe7d9a407041700657a1a14226ee1e1814f2,2019-06-27T16:48:35Z,"{'include/votca/xtp/eeinteractor.h': 19, 'include/votca/xtp/jobtopology.h': 9, 'include/votca/xtp/mmregion.h': 6, 'include/votca/xtp/polarregion.h': 10, 'include/votca/xtp/polarsite.h': 35, 'include/votca/xtp/qmregion.h': 6, 'include/votca/xtp/region.h': 8, 'include/votca/xtp/staticregion.h': 6, 'src/libxtp/eeinteractor.cc': 259, 'src/libxtp/jobcalculators/qmmm.cc': 14, 'src/libxtp/polarregion.cc': 92, 'src/libxtp/polarsite.cc': 31, 'src/libxtp/qmregion.cc': 22, 'src/libxtp/region.cc': 15, 'src/libxtp/segmentmapper.cc': 5, 'src/tests/test_eeinteractor.cc': 30}",567,5,"{'16fef30cb6c834be72351d042ca064593c009b2f', '13e48fcc33c956aba0ec220b4bb8cbd9b5790a39', '1392a26536d87cbd1d72532162ce98a2c3db4dbd', 'c4cb3abefd873e7776666dce6c8d46599271d570', 'cc283b9f38cd3ae22ce32d5a924d1a999aaad539'}","{'src/libxtp/polarregion.cc', 'include/votca/xtp/polarregion.h', 'src/libxtp/eeinteractor.cc', 'src/libxtp/qmregion.cc'}",TRUE,
Qiskit/qiskit-terra,e01fe342b328d92aeaa63c37cae83da54838d714,2019-05-15T07:33:54Z,"{'qiskit/circuit/register.py': 2, 'qiskit/dagcircuit/dagcircuit.py': 7, 'qiskit/providers/baseprovider.py': 2, 'qiskit/qasm/node/id.py': 14, 'qiskit/transpiler/passes/mapping/legacy_swap.py': 2, 'qiskit/transpiler/passes/mapping/stochastic_swap.py': 2, 'qiskit/transpiler/passes/unroller.py': 3, 'qiskit/transpiler/passmanager.py': 4, 'qiskit/visualization/counts_visualization.py': 2}",38,3,"{'b2770396c88bcf2d8058bfad5d6077929abcfd5b', '79c44e5615ddc66d0d083f8715c709f9d3371cd6', '24fb5adb79539b2083a096d674cf208a9067bd88'}","{'qiskit/circuit/register.py', 'qiskit/transpiler/passes/routing/stochastic_swap.py', 'qiskit/transpiler/passes/mapping/legacy_swap.py'}",TRUE,
artiste-qb-net/qubiter,65708d57ce6d237b9ea4a4ee0e5d9685ea6eab97,2019-01-17T06:03:50Z,"{'device_specific/Qubiter_to_AnyQasm.py': 38, 'device_specific/Qubiter_to_RigettiPyQuil.py': 85, 'io_folder/qbtr2rigetti_test_6_eng.txt': 4, 'io_folder/qbtr2rigetti_test_6_log.txt': 4, 'io_folder/qbtr2rigetti_test_RigPyQuil.txt': 22, 'io_folder/qbtr2rigetti_test_X1_6_ZLpic.txt': 18, 'io_folder/qbtr2rigetti_test_X1_6_eng.txt': 22}",193,1,{'dcf87233179b58206b26c8906a752c26ced2c0ec'},{'qubiter/device_specific/Qubiter_to_RigettiPyQuil.py'},FALSE,
QMCPACK/qmcpack,d6db1270e9267e317328861e7db693137d7b38d4,2005-10-29T17:38:05Z,"{'src/QMCDrivers/DMCParticleByParticle.cpp': 12, 'src/QMCDrivers/DMCParticleByParticle.h': 4, 'src/QMCDrivers/GSLOptimize.cpp': 2, 'src/QMCDrivers/GSLOptimize.h': 16, 'src/QMCDrivers/MultiChain.h': 9, 'src/QMCDrivers/QMCDriver.cpp': 12, 'src/QMCDrivers/QMCDriver.h': 2, 'src/QMCDrivers/QMCOptimize.cpp': 477, 'src/QMCDrivers/QMCOptimize.h': 111, 'src/QMCDrivers/SimpleFixedNodeBranch.h': 265, 'src/QMCDrivers/VMC_OPT.h': 3}",913,2,"{'a31d10f3f929ffa7be7c2880dcb8d445b62a8f29', '1af1afec0eec5bad997a975e0fefb3ef788475fc'}","{'src/QMCDrivers/QMCOptimize.cpp', 'src/QMCDrivers/QMCOptimize.h', 'src/QMCDrivers/SimpleFixedNodeBranch.h'}",TRUE,
hande-qmc/hande,01c43d7d53c51cb7c7b84481af4c5f98408a92b3,2015-05-19T16:32:51Z,"{'src/dmqmc_initialise_dm.F90': 27, 'src/lua_hande_calc.f90': 2, 'test_suite/dmqmc/np1/n2_sto3g/benchmark.out.41fcefb.inp=ipdmqmc_spin.in': 1193, 'test_suite/dmqmc/np1/n2_sto3g/ipdmqmc_spin.in': 32}",1254,1,{'504d9d951609ea8a85495b904475e1de8ed99494'},{'src/lua_hande_calc.f90'},TRUE,
issp-center-dev/HPhi,de7acaaa9c4c9b5b2f7486e119e0163c09e1f946,2015-12-21T00:55:27Z,"{'src/CheckMPI.c': 6, 'src/expec_cisajscktaltdc.c': 4, 'src/expec_totalspin.c': 66, 'src/include/mltplyMPI.h': 10, 'src/include/struct.h': 1, 'src/mltplyMPI.c': 163, 'src/xsetmem.c': 1}",251,5,"{'5c0612602f6fc12a3ef8f281b42002415d0a45a3', '0ff3b2d78c3424bd55da13ba0c31b5e2dd365d91', '5f6aa2497aa2e269888cd76478933de381fddc83', 'be0d2db5af01c9a8f126b68d6bcf4ef01f43abfc', '1e0b2fbb954c9df086459d0562c526a544975722'}","{'src/mltplyMPI.c', 'src/expec_totalspin.c', 'src/include/mltplyMPI.h'}",TRUE,
votca/xtp,fae22f70a7a8d78adc5165883dba7d4dbf674f19,2013-11-13T17:19:40Z,"{'include/votca/kmc/graph.h': 17, 'include/votca/kmc/graphsql.h': 60, 'include/votca/kmc/link.h': 2, 'include/votca/kmc/linksql.h': 12, 'include/votca/kmc/nodesql.h': 17, 'src/libkmc/calculators/diode.h': 12}",120,1,{'8b82a597cb5e7efe7d9435f495f2170ae532ad7b'},{'include/votca/kmc/graph.h'},TRUE,
m-labs/artiq,10db450098ffe31370588a04258f560241a50bd1,2014-07-04T15:50:35Z,"{'artiq/compiler/interleave.py': 2, 'llvm_or1k_setup.txt': 2}",4,1,{'668e76fa0289209aa688b2ec04ed87bf20ec8b9c'},{'llvm_or1k_setup.txt'},TRUE,
QuEST-Kit/QuEST,feee8af23ccde1ce77157fc0bb4ab492731ede02,2017-04-06T11:25:19Z,"{'Doxygen_doc/html/annotated.html': 2, 'Doxygen_doc/html/basicTemplate_8c.html': 29, 'Doxygen_doc/html/basicTemplate_8c_source.html': 27, 'Doxygen_doc/html/classes.html': 2, 'Doxygen_doc/html/files.html': 2, 'Doxygen_doc/html/functions.html': 2, 'Doxygen_doc/html/functions_vars.html': 2, 'Doxygen_doc/html/globals.html': 11, 'Doxygen_doc/html/globals_defs.html': 2, 'Doxygen_doc/html/globals_func.html': 11, 'Doxygen_doc/html/globals_vars.html': 2, 'Doxygen_doc/html/index.html': 2, 'Doxygen_doc/html/qubits_8c.html': 209, 'Doxygen_doc/html/qubits_8c_source.html': 61, 'Doxygen_doc/html/qubits_8h.html': 163, 'Doxygen_doc/html/qubits_8h_source.html': 48, 'Doxygen_doc/html/qubits__env__local_8c.html': 58, 'Doxygen_doc/html/qubits__env__local_8c_source.html': 31, 'Doxygen_doc/html/qubits__env__mpi_8c.html': 137, 'Doxygen_doc/html/qubits__env__mpi_8c_source.html': 57, 'Doxygen_doc/html/structComplex.html': 12, 'Doxygen_doc/html/structComplexArray.html': 12, 'Doxygen_doc/html/structMultiQubit.html': 28, 'Doxygen_doc/html/structQUESTEnv.html': 12, 'Doxygen_doc/latex/basicTemplate_8c.tex': 296, 'Doxygen_doc/latex/qubits_8c.tex': 1207, 'Doxygen_doc/latex/qubits_8h.tex': 254, 'Doxygen_doc/latex/qubits__env__local_8c.tex': 79, 'Doxygen_doc/latex/qubits__env__mpi_8c.tex': 287, 'Doxygen_doc/latex/structComplex.tex': 6, 'Doxygen_doc/latex/structComplexArray.tex': 6, 'Doxygen_doc/latex/structMultiQubit.tex': 20, 'Doxygen_doc/latex/structQUESTEnv.tex': 10, 'QUEST/qubits.c': 16, 'QUEST/qubits.h': 6, 'QUEST/qubits_env_local.c': 12, 'QUEST/qubits_env_mpi.c': 15, 'basicTemplate.c': 17, 'examples/basicTemplate.c': 17}",3170,3,"{'d3d8051184e5398de196c54a126d0ff1cfd51159', '080993702ff9e6ededfcb463b8bedc087316d5c2', '946c4f5fef884c2ed78e3668116e5d2e79b6163b'}","{'Doxygen_doc/latex/basicTemplate_8c.tex', 'Doxygen_doc/html/qubits__env__local_8c.html', 'Doxygen_doc/html/globals.html', 'Doxygen_doc/html/qubits__env__mpi_8c.html', 'examples/basicTemplate.c', 'Doxygen_doc/html/qubits_8c.html', 'Doxygen_doc/latex/qubits_8h.tex', 'Doxygen_doc/html/globals_func.html'}",FALSE,
cp2k/cp2k,984eb0768bae5b7ea889df2b3efa0010fd88e31e,2007-04-03T09:36:58Z,"{'src/kg_rspw_methods.F': 40, 'tests/MC/regtest/TEST_FILES_RESET': 2}",42,2,"{'894ca16bcf5c0ab95f1eed85187623f52997dded', '6ebed7b13a1976ca5cb1cfe8ad529d9d2e17deea'}",{'src/kg_rspw_methods.F'},TRUE,
cp2k/cp2k,e5cdd5c2f1b0f615a2ba1686cf662c4d81e1e9c8,2009-05-29T23:15:24Z,"{'src/constraint_util.F': 132, 'src/force_env_methods.F': 24, 'src/virial_methods.F': 15, 'src/virial_types.F': 44, 'tests/QS/regtest-nonortho/TEST_FILES_RESET': 2}",217,2,"{'1ee7afc1608010b7380c4bbc91d05e6adbfb836b', 'b075cfc0fbb08bc3806e14e06ac2deb60b3a9335'}",{'src/force_env_methods.F'},FALSE,
QMCPACK/qmcpack,ce9cdc54d0112ec20f6c94ef596d26866bb5ef22,2015-08-05T09:03:35Z,{'manual/dmc.tex': 142},142,2,"{'f4c6cda59e1faadefa8c2799214f048b5483e20f', '70340eb7235894435c7930cd19c424bce689aa38'}",{'manual/dmc.tex'},FALSE,
