project,Buginducing,Date,Modifiedfiles,LOC,TotalFixing,Bugfixing,FixingFiles,Tag,commitmessage
ericchansen/q2mm,763b19439253792a854aed297e44a786ab2e8ddf,2015-03-03T22:57:02Z,{'constants.py': 11},11,1,{'eddb14f894214ad7598ce0fe7e84555a718e842e'},{'constants.py'},FALSE,
QMCPACK/qmcpack,5f62bcfbb5d3a4650ace51a162ad0f45004b7096,2019-03-02T05:32:12Z,{'src/QMCWaveFunctions/Fermion/DelayedUpdateCUDA.h': 4},4,1,{'886aa02320d2466eae233f3ecf9fd234a93aaa46'},{'src/QMCWaveFunctions/Fermion/DelayedUpdateCUDA.h'},TRUE,
theQRL/QRL,03572bda058f8afae52bb105fedb7bbbd82547ad,2017-09-11T18:10:38Z,"{'.gitignore': 1, 'pyqrllib/_pyqrllib.so': 0, 'pyqrllib/apiPYTHON_wrap.cxx': 18786, 'pyqrllib/misc.py': 4, 'pyqrllib/pyqrllib.py': 135, 'qrl/crypto/xmss.py': 432}",19358,2,"{'79f6d45af4c01dce7f426141d7b58abd3560d822', '70d92f4ff2cc5af5d3a08e2843e2a9d2f3bce280'}","{'pyqrllib/pyqrllib.py', 'pyqrllib/apiPYTHON_wrap.cxx', 'qrl/crypto/xmss.py'}",TRUE,
XanaduAI/pennylane,4b08b58089a83bdcc2f2a2a4980f83f0115765ff,2020-07-20T15:20:54Z,"{'qchem/CHANGELOG.md': 4, 'qchem/pennylane_qchem/qchem/obs.py': 50, 'qchem/tests/test_particle_number_obs.py': 100}",154,1,{'9113e6987e1c206d1254648359f1455a85836bf2'},"{'qchem/pennylane_qchem/qchem/obs.py', 'qchem/tests/test_particle_number_obs.py'}",TRUE,
redhat-cip/openstack-quantum-puppet,b77dd45006edd1f24a44d7c82d1fffb19d0f09f9,2012-10-09T13:29:45Z,"{'lib/puppet/type/quantum_dhcp_agent_config.rb': 0, 'lib/puppet/type/quantum_l3_agent_config.rb': 0, 'manifests/agents/dhcp.pp': 10, 'manifests/agents/l3.pp': 10}",20,2,"{'c7469b63d512094b3841578cad7ee2128b3f2dbd', 'acd661be946b2d56fc915f896675052d3539f110'}","{'manifests/agents/dhcp.pp', 'manifests/agents/l3.pp'}",TRUE,
votca/xtp,e106963511312132c33abe183d884348d8ef5823,2011-06-20T08:43:46Z,"{'netbeans/libmd2qm/nbproject/Makefile-Debug.mk': 8, 'netbeans/libmd2qm/nbproject/Makefile-Release.mk': 8, 'netbeans/libmd2qm/nbproject/configurations.xml': 3}",19,1,{'b04ee2944ec7ebba561242410ea426da6e7cc67a'},"{'netbeans/libmd2qm/nbproject/Makefile-Release.mk', 'netbeans/libmd2qm/nbproject/configurations.xml', 'netbeans/libmd2qm/nbproject/Makefile-Debug.mk'}",FALSE,
XanaduAI/thewalrus,0b85498f72c775e156f550b2ac1a040cb2b00452,2020-05-22T14:15:08Z,{'thewalrus/quantum.py': 13},13,2,"{'e2e1e5cdfe2511df72bbe6ee4a6a2019bd6a5a5e', '658e62a4a769f308fd9552453399c0a486df1327'}",{'thewalrus/quantum.py'},TRUE,
lneuhaus/pyrpl,74b52a2e0ed347b3d8a15a021a44105614e98e16,2017-07-04T13:16:04Z,"{'pyrpl/memory.py': 7, 'pyrpl/test/test_hardware_modules/test_scope.py': 42, 'pyrpl/test/test_na.py': 4}",53,4,"{'66f6fa83a9ce2a63b12a2a4b0f1e2d02a919ef9f', '3279bd67154cb3b4556e8a9d40be630749ea9880', '28d21df67f7fa069ac37623a5442d745ea8f0b43', 'ebbd17fac052252797d7681d20f29240d2969a0c'}","{'ignore_these/test_hardware_modules/test_scope.py', 'pyrpl/test/test_hardware_modules/test_scope.py'}",TRUE,
XanaduAI/strawberryfields,8a79fabec92dfb1043900649018cf6b224271971,2019-12-16T22:02:38Z,"{'.github/CHANGELOG.md': 40, 'strawberryfields/_version.py': 2}",42,1,{'e557ba23e5049bc887c7c8efd7b40044a3117410'},{'.github/CHANGELOG.md'},FALSE,
cp2k/cp2k,822759cdead62a9e7fa61436756a52ab182da1e1,2006-01-24T18:17:19Z,"{'src/input_cp2k_tbmd.F': 84, 'src/tbmd_environment.F': 20, 'src/tbmd_model_types.F': 23, 'src/tbmd_neighbor_list_env_types.F': 44, 'src/tbmd_neighbor_lists.F': 10}",181,1,{'00a146b10db7b8c9071a4b86c3346a22667672be'},"{'src/tbmd_neighbor_list_env_types.F', 'src/tbmd_neighbor_lists.F'}",TRUE,
