Category,Severity,Frequency,Total,Percentage
Simulator,Major,2.3618618233983146e-06,0.006701953132856475,0.035
Simulator,Major,2.4312757687256553e-06,0.006701953132856475,0.036
Simulator,Major,6.626880701338704e-06,0.006701953132856475,0.099
Simulator,Major,3.443957420162805e-05,0.006701953132856475,0.514
Simulator,Major,3.6231884057971014e-05,0.006701953132856475,0.541
Simulator,Major,3.0236393622869708e-05,0.006701953132856475,0.451
Simulator,Major,3.574759092322039e-05,0.006701953132856475,0.533
Simulator,Major,3.3537474482356374e-05,0.006701953132856475,0.5
Simulator,Major,2.618993395581872e-05,0.006701953132856475,0.391
Simulator,Major,0.00026785714285714287,0.006701953132856475,3.997
Simulator,Major,0.00026785714285714287,0.006701953132856475,3.997
Simulator,Major,0.00026785714285714287,0.006701953132856475,3.997
Simulator,Major,0.00026785714285714287,0.006701953132856475,3.997
Simulator,Major,0.00026785714285714287,0.006701953132856475,3.997
Simulator,Major,0.00026785714285714287,0.006701953132856475,3.997
