Category,Project,Severity,Frequency,Total,Percentage
Experimentation,Qlab,Critical,5.24218416191757e-07,3.6753999748794945e-05,1.426
Experimentation,Qlab,Major,9.298932475954543e-06,3.6753999748794945e-05,25.3
Experimentation,Qlab,Minor,1.301311782094397e-05,3.6753999748794945e-05,35.406
Experimentation,Qlab,NBlocker,1.3917731035704674e-05,3.6753999748794945e-05,37.867
Experimentation,PyQLab,Critical,2.3100392208219822e-06,2.105132059715139e-05,10.973
Experimentation,PyQLab,Major,6.0630324246641705e-06,2.105132059715139e-05,28.801
Experimentation,PyQLab,Minor,1.0508981749313096e-05,2.105132059715139e-05,49.921
Experimentation,PyQLab,NBlocker,2.169267202352142e-06,2.105132059715139e-05,10.305
Experimentation,pyEPR,Critical,1.1693879415003286e-06,6.6318178631829835e-06,17.633
Experimentation,pyEPR,Major,3.13900370483751e-06,6.6318178631829835e-06,47.332
Experimentation,pyEPR,Minor,2.2751308292380183e-06,6.6318178631829835e-06,34.306
Experimentation,pyEPR,NBlocker,4.8295387607126255e-08,6.6318178631829835e-06,0.728
Quantum-Chemistry,mpqc,Critical,3.371555881394121e-05,7.432492383643219e-05,45.362
Quantum-Chemistry,mpqc,Major,2.592793722636255e-05,7.432492383643219e-05,34.885
Quantum-Chemistry,mpqc,Minor,1.4537820889208701e-05,7.432492383643219e-05,19.56
Quantum-Chemistry,mpqc,NBlocker,1.4360690691972304e-07,7.432492383643219e-05,0.193
Quantum-Chemistry,pyscf,Critical,4.398199331903507e-06,1.393687752697665e-05,31.558
Quantum-Chemistry,pyscf,Major,6.312116800007122e-06,1.393687752697665e-05,45.291
Quantum-Chemistry,pyscf,Minor,2.6694761582300268e-06,1.393687752697665e-05,19.154
Quantum-Chemistry,pyscf,NBlocker,5.570852368359951e-07,1.393687752697665e-05,3.997
Quantum-Chemistry,basis_set_exchange,Critical,1.9936515670676096e-05,3.691966700420329e-05,54.0
Quantum-Chemistry,basis_set_exchange,Major,8.401116746858522e-06,3.691966700420329e-05,22.755
Quantum-Chemistry,basis_set_exchange,Minor,6.05080986788572e-06,3.691966700420329e-05,16.389
Quantum-Chemistry,basis_set_exchange,NBlocker,2.5312247187829567e-06,3.691966700420329e-05,6.856
Quantum-Chemistry,QCElemental,Critical,7.6145473028362515e-06,1.1926415773468779e-05,63.846
Quantum-Chemistry,QCElemental,Major,2.959056841361794e-06,1.1926415773468779e-05,24.811
Quantum-Chemistry,QCElemental,Minor,1.1923653907949483e-06,1.1926415773468779e-05,9.998
