categories,repos,repo_id,interval,commits,cloc
Quantum Annealing,dwavesystems/dwave-system,3,30,439,32164
Quantum Annealing,dwavesystems/dwavebinarycsp,4,30,144,14872
Quantum Annealing,dwavesystems/dwavebinarycsp,4,60,160,15207
Quantum Annealing,dwavesystems/dwavebinarycsp,4,90,168,16091
Quantum Annealing,dwavesystems/dwavebinarycsp,4,120,164,16010
Quantum Annealing,dwavesystems/dwavebinarycsp,4,150,165,16114
Quantum Annealing,dwavesystems/dwavebinarycsp,4,180,169,16195
Quantum Annealing,dwavesystems/penaltymodel,5,30,272,27360
Quantum Annealing,dwavesystems/penaltymodel,5,60,280,27508
Quantum Annealing,dwavesystems/penaltymodel,5,90,289,27634
Quantum Annealing,dwavesystems/penaltymodel,5,120,291,27665
Quantum Annealing,dwavesystems/penaltymodel,5,150,292,27679
Quantum Annealing,dwavesystems/penaltymodel,5,180,293,27683
Full-stack Library,Qiskit/qiskit-terra,0,30,2211,917037
Full-stack Library,Qiskit/qiskit-terra,0,60,2278,965228
Full-stack Library,Qiskit/qiskit-terra,0,90,2352,969403
Full-stack Library,Qiskit/qiskit-terra,0,120,2388,1026204
Full-stack Library,Qiskit/qiskit-terra,0,150,2267,933143
Full-stack Library,Qiskit/qiskit-terra,0,180,2379,974423
Full-stack Library,microsoft/Quantum,1,90,192,9161485
Full-stack Library,microsoft/Quantum,1,120,192,9161485
Full-stack Library,microsoft/Quantum,1,150,193,9161502
Full-stack Library,microsoft/Quantum,1,180,193,9161502
Full-stack Library,microsoft/Quantum,1,60,189,9158878
Full-stack Library,microsoft/Quantum,1,30,181,9157463
Full-stack Library,microsoft/QuantumLibraries,2,30,158,114442
Full-stack Library,microsoft/QuantumLibraries,2,60,167,118962
Full-stack Library,microsoft/QuantumLibraries,2,90,169,119198
Full-stack Library,microsoft/QuantumLibraries,2,120,170,119256
Full-stack Library,microsoft/QuantumLibraries,2,150,170,119256
Full-stack Library,microsoft/QuantumLibraries,2,180,170,119256
Full-stack Library,microsoft/Quantum-NC,3,30,81,9291
Full-stack Library,microsoft/Quantum-NC,3,60,85,9580
Full-stack Library,microsoft/Quantum-NC,3,90,85,9580
Full-stack Library,microsoft/Quantum-NC,3,120,85,9580
Full-stack Library,microsoft/Quantum-NC,3,150,85,9580
Full-stack Library,microsoft/Quantum-NC,3,180,85,9580
Full-stack Library,rigetti/pyquil,4,150,490,85610
Full-stack Library,rigetti/pyquil,4,180,500,86360
Full-stack Library,rigetti/pyquil,4,120,487,85323
Full-stack Library,rigetti/pyquil,4,90,496,84796
Full-stack Library,rigetti/pyquil,4,60,477,84183
Full-stack Library,rigetti/pyquil,4,30,467,76426
Full-stack Library,Qiskit/qiskit,5,90,356,107222
Full-stack Library,Qiskit/qiskit,5,120,356,107222
Full-stack Library,Qiskit/qiskit,5,150,356,107222
Full-stack Library,Qiskit/qiskit,5,180,356,107222
Full-stack Library,Qiskit/qiskit,5,60,353,107205
Full-stack Library,Qiskit/qiskit,5,30,348,107164
Full-stack Library,Qiskit/qiskit-ibmq-provider,6,30,272,44753
Full-stack Library,Qiskit/qiskit-ibmq-provider,6,60,276,45377
Full-stack Library,Qiskit/qiskit-ibmq-provider,6,90,277,45489
Full-stack Library,Qiskit/qiskit-ibmq-provider,6,120,277,45489
Full-stack Library,Qiskit/qiskit-ibmq-provider,6,150,277,45489
Full-stack Library,Qiskit/qiskit-ibmq-provider,6,180,277,45489
Full-stack Library,qiskit-community/qiskit-js,7,150,237,517681
Full-stack Library,qiskit-community/qiskit-js,7,180,238,517701
Full-stack Library,qiskit-community/qiskit-js,7,120,237,517690
Full-stack Library,qiskit-community/qiskit-js,7,90,234,517655
Full-stack Library,qiskit-community/qiskit-js,7,60,229,517403
Full-stack Library,qiskit-community/qiskit-js,7,30,212,502087
Full-stack Library,qiskit-community/qiskit-vscode,8,150,568,461685
Full-stack Library,qiskit-community/qiskit-vscode,8,180,568,461685
Full-stack Library,qiskit-community/qiskit-vscode,8,120,520,398101
Full-stack Library,qiskit-community/qiskit-vscode,8,90,565,459929
Full-stack Library,qiskit-community/qiskit-vscode,8,60,562,459747
Full-stack Library,qiskit-community/qiskit-vscode,8,30,526,415347
Full-stack Library,rigetti/rpcq,9,60,68,3484
Full-stack Library,rigetti/rpcq,9,90,81,3847
